0,0.2091,-5.55E-03,0.00E+00
-0.01,0.2078,-5.56E-03,1.08E-05
-0.02,0.2063,-5.43E-03,1.08E-05
-0.03,0.2048,-5.29E-03,1.08E-05
-0.04,0.2031,-5.19E-03,1.08E-05
-0.05,0.2013,-5.01E-03,1.08E-05
-0.06,0.1994,-4.78E-03,1.08E-05
-0.07,0.1975,-4.60E-03,1.08E-05
-0.08,0.1954,-4.41E-03,1.08E-05
-0.09,0.1933,-4.13E-03,1.08E-05
-0.1,0.1912,-3.90E-03,1.08E-05
-0.11,0.189,-3.68E-03,1.08E-05
-0.12,0.1868,-3.40E-03,1.08E-05
-0.13,0.1847,-3.13E-03,1.08E-05
-0.14,0.1826,-2.89E-03,1.08E-05
-0.15,0.1806,-2.61E-03,1.08E-05
-0.16,0.1788,-2.33E-03,1.08E-05
-0.17,0.1772,-2.12E-03,1.08E-05
-0.18,0.1757,-1.90E-03,1.08E-05
-0.19,0.1745,-1.70E-03,1.08E-05
-0.2,0.1734,-1.53E-03,1.08E-05
-0.21,0.1726,-1.35E-03,1.08E-05
-0.22,0.172,-1.24E-03,1.08E-05
-0.23,0.1715,-1.16E-03,1.08E-05
-0.24,0.1711,-1.07E-03,1.08E-05
-0.25,0.1709,-9.56E-04,1.08E-05
-0.26,0.1709,-9.04E-04,1.08E-05
-0.27,0.1709,-9.04E-04,1.08E-05
-0.28,0.1709,-8.55E-04,1.08E-05
-0.29,0.1711,-8.11E-04,1.08E-05
-0.3,0.1713,-8.19E-04,1.08E-05
-0.31,0.1715,-8.02E-04,1.08E-05
-0.32,0.1718,-7.63E-04,1.08E-05
-0.33,0.1722,-7.76E-04,1.08E-05
-0.34,0.1725,-7.89E-04,1.08E-05
-0.35,0.1729,-7.78E-04,1.08E-05
-0.36,0.1733,-7.68E-04,1.08E-05
-0.37,0.1738,-7.60E-04,1.08E-05
-0.38,0.1743,-7.79E-04,1.08E-05
-0.39,0.1748,-7.99E-04,1.08E-05
-0.4,0.1753,-7.92E-04,1.08E-05
-0.41,0.1759,-7.88E-04,1.08E-05
-0.42,0.1765,-7.84E-04,1.08E-05
-0.43,0.1772,-8.12E-04,1.08E-05
-0.44,0.1778,-8.10E-04,1.08E-05
-0.45,0.1786,-8.11E-04,1.08E-05
-0.46,0.1793,-8.43E-04,1.08E-05
-0.47,0.1801,-8.15E-04,1.08E-05
-0.48,0.181,-8.22E-04,1.08E-05
-0.49,0.1819,-8.31E-04,1.08E-05
