-0.15,0.185,-1.76E-03,2.36E-05
-0.16,0.1848,-1.81E-03,2.34E-05
-0.17,0.1846,-1.85E-03,2.30E-05
-0.18,0.1842,-1.87E-03,2.26E-05
-0.19,0.1838,-1.89E-03,2.22E-05
-0.2,0.1833,-1.90E-03,2.18E-05
-0.21,0.1828,-1.90E-03,2.14E-05
-0.22,0.1822,-1.88E-03,2.10E-05
-0.23,0.1816,-1.86E-03,2.07E-05
-0.24,0.1809,-1.82E-03,2.03E-05
-0.25,0.1803,-1.78E-03,1.99E-05
-0.26,0.1796,-1.73E-03,1.95E-05
-0.27,0.179,-1.68E-03,1.91E-05
-0.28,0.1784,-1.62E-03,1.87E-05
-0.29,0.1778,-1.56E-03,1.83E-05
-0.3,0.1773,-1.49E-03,1.80E-05
-0.31,0.1768,-1.43E-03,1.76E-05
-0.32,0.1764,-1.36E-03,1.72E-05
-0.33,0.1761,-1.30E-03,1.68E-05
-0.34,0.1759,-1.24E-03,1.64E-05
-0.35,0.1757,-1.18E-03,1.60E-05
-0.36,0.1757,-1.13E-03,1.56E-05
-0.37,0.1757,-1.09E-03,1.53E-05
-0.38,0.1758,-1.05E-03,1.49E-05
-0.39,0.1759,-1.01E-03,1.45E-05
-0.4,0.1762,-9.76E-04,1.41E-05
-0.41,0.1765,-9.49E-04,1.37E-05
-0.42,0.1769,-9.26E-04,1.33E-05
-0.43,0.1774,-9.06E-04,1.29E-05
-0.44,0.178,-8.90E-04,1.26E-05
-0.45,0.1786,-8.77E-04,1.22E-05
-0.46,0.1792,-8.67E-04,1.18E-05
-0.47,0.18,-8.59E-04,1.14E-05
-0.48,0.1808,-8.52E-04,1.10E-05
-0.49,0.1817,-8.48E-04,1.06E-05
-0.5,0.1826,-8.45E-04,1.02E-05
-0.51,0.1836,-8.43E-04,9.85E-06
-0.52,0.1847,-8.43E-04,9.47E-06
-0.53,0.1859,-8.43E-04,9.08E-06
-0.54,0.1871,-8.44E-04,8.69E-06
-0.55,0.1884,-8.45E-04,8.31E-06
-0.56,0.1898,-8.47E-04,7.92E-06
-0.57,0.1913,-8.49E-04,7.54E-06
-0.58,0.1929,-8.51E-04,7.15E-06
-0.59,0.1946,-8.53E-04,6.76E-06
-0.6,0.1964,-8.56E-04,6.38E-06
-0.61,0.1983,-8.58E-04,5.99E-06
-0.62,0.2004,-8.61E-04,5.61E-06
-0.63,0.2025,-8.63E-04,5.22E-06
